Code,"Continent, Region, Country",century,decade,year,height.cm,year_decade,height.in
300,Greece,19,4,0,169.2,1940,66.61417322834646
300,Greece,19,5,0,173.7,1950,68.38582677165354
300,Greece,19,6,0,177.6,1960,69.92125984251969
300,Greece,19,8,0,177.3,1980,69.80314960629921
380,Italy,18,1,0,164.1,1810,64.60629921259843
380,Italy,18,2,0,165.8,1820,65.27559055118111
380,Italy,18,3,0,164.1,1830,64.60629921259843
380,Italy,18,4,0,162,1840,63.779527559055126
380,Italy,18,5,0,162.9,1850,64.13385826771653
380,Italy,18,6,0,163.1,1860,64.21259842519686
380,Italy,18,7,0,163.5,1870,64.37007874015748
380,Italy,18,8,0,163.9,1880,64.52755905511812
380,Italy,18,9,0,164.7,1890,64.84251968503936
380,Italy,19,0,0,165.6,1900,65.19685039370079
380,Italy,19,1,0,166.3,1910,65.4724409448819
380,Italy,19,2,0,167.3,1920,65.86614173228347
380,Italy,19,3,0,168.1,1930,66.18110236220473
380,Italy,19,4,0,169.3,1940,66.65354330708662
380,Italy,19,5,0,171.3,1950,67.44094488188976
380,Italy,19,6,0,173,1960,68.11023622047244
380,Italy,19,7,0,174.1,1970,68.54330708661418
380,Italy,19,8,0,174.48,1980,68.69291338582677
620,Portugal,18,1,0,165.493,1810,65.15472440944882
620,Portugal,18,2,0,166.338,1820,65.48740157480314
620,Portugal,18,3,0,165.292,1830,65.07559055118111
620,Portugal,18,4,0,163.539,1840,64.38543307086614
620,Portugal,18,5,0,164.16,1850,64.62992125984252
620,Portugal,18,6,0,164.066,1860,64.59291338582678
620,Portugal,18,7,0,164.688,1870,64.83779527559055
620,Portugal,18,8,0,164.161,1880,64.63031496062992
620,Portugal,18,9,0,164.15,1890,64.6259842519685
620,Portugal,19,0,0,163.774,1900,64.47795275590552
620,Portugal,19,1,0,164.491,1910,64.76023622047245
620,Portugal,19,2,0,164.88,1920,64.91338582677166
620,Portugal,19,3,0,165.57,1930,65.18503937007874
620,Portugal,19,4,0,166.385,1940,65.50590551181102
620,Portugal,19,5,0,167.41,1950,65.90944881889763
620,Portugal,19,6,0,169.24,1960,66.62992125984253
620,Portugal,19,7,0,171.38,1970,67.4724409448819
620,Portugal,19,8,0,172.13,1980,67.76771653543308
688,Serbia,18,5,0,166.2,1850,65.43307086614173
688,Serbia,18,7,0,169.7,1870,66.81102362204724
688,Serbia,18,8,0,167.1,1880,65.78740157480316
688,Serbia,18,9,0,168.1,1890,66.18110236220473
688,Serbia,19,6,0,175.8,1960,69.21259842519686
891,Serbia and Montenegro (until 2006),18,5,0,166.2,1850,65.43307086614173
891,Serbia and Montenegro (until 2006),18,7,0,169.7,1870,66.81102362204724
891,Serbia and Montenegro (until 2006),18,8,0,167.1,1880,65.78740157480316
891,Serbia and Montenegro (until 2006),18,9,0,168.1,1890,66.18110236220473
891,Serbia and Montenegro (until 2006),19,6,0,175.8,1960,69.21259842519686
705,Slovenia,18,7,0,168.3,1870,66.25984251968504
705,Slovenia,19,2,0,173.7,1920,68.38582677165354
705,Slovenia,19,5,0,175.8,1950,69.21259842519686
705,Slovenia,19,7,0,179.2,1970,70.5511811023622
724,Spain,18,3,0,161,1830,63.38582677165355
724,Spain,18,4,0,163.7,1840,64.44881889763779
724,Spain,18,5,0,162.5,1850,63.97637795275591
724,Spain,18,6,0,162.7,1860,64.05511811023621
724,Spain,18,7,0,162.6,1870,64.01574803149606
724,Spain,18,8,0,163.9,1880,64.52755905511812
724,Spain,18,9,0,164,1890,64.56692913385827
724,Spain,19,0,0,164.6,1900,64.80314960629921
724,Spain,19,1,0,165.1,1910,65
724,Spain,19,2,0,165.6,1920,65.19685039370079
724,Spain,19,3,0,165.2,1930,65.03937007874016
724,Spain,19,4,0,166.3,1940,65.4724409448819
724,Spain,19,5,0,170.8,1950,67.24409448818899
724,Spain,19,6,0,174.2,1960,68.58267716535433
724,Spain,19,7,0,175.2,1970,68.9763779527559
724,Spain,19,8,0,175.6,1980,69.13385826771653
807,The former Yugoslav Republic of Macedonia,19,0,0,167.669,1900,66.01141732283465
807,The former Yugoslav Republic of Macedonia,19,1,0,168.4,1910,66.2992125984252
807,The former Yugoslav Republic of Macedonia,19,2,0,169.6,1920,66.77165354330708
807,The former Yugoslav Republic of Macedonia,19,3,0,168.8,1930,66.45669291338584
112,Belarus,18,4,0,163.9,1840,64.52755905511812
112,Belarus,19,0,0,166.5,1900,65.55118110236221
112,Belarus,19,8,0,176.4,1980,69.44881889763779
100,Bulgaria,18,8,0,167.6,1880,65.98425196850394
100,Bulgaria,19,3,0,171.7,1930,67.59842519685039
100,Bulgaria,19,4,0,171.3,1940,67.44094488188976
100,Bulgaria,19,5,0,172.9,1950,68.0708661417323
203,Czech Republic,18,1,0,164,1810,64.56692913385827
203,Czech Republic,18,2,0,163,1820,64.1732283464567
203,Czech Republic,18,3,0,163.5,1830,64.37007874015748
203,Czech Republic,18,4,0,164.8,1840,64.88188976377954
203,Czech Republic,18,5,0,165.5,1850,65.15748031496064
203,Czech Republic,18,6,0,166,1860,65.35433070866142
203,Czech Republic,18,7,0,167,1870,65.74803149606299
203,Czech Republic,18,8,0,167.6,1880,65.98425196850394
203,Czech Republic,18,9,0,169.783,1890,66.84370078740157
203,Czech Republic,19,0,0,170.7,1900,67.20472440944881
203,Czech Republic,19,1,0,170.8,1910,67.24409448818899
203,Czech Republic,19,2,0,173.3,1920,68.22834645669292
203,Czech Republic,19,3,0,175.7,1930,69.1732283464567
203,Czech Republic,19,4,0,176.8,1940,69.60629921259843
203,Czech Republic,19,5,0,177.7,1950,69.96062992125984
203,Czech Republic,19,7,0,178.7,1970,70.35433070866142
200,Czechoslovakia (until 1993),18,5,0,166.2,1850,65.43307086614173
200,Czechoslovakia (until 1993),18,7,0,169.7,1870,66.81102362204724
200,Czechoslovakia (until 1993),18,8,0,167.1,1880,65.78740157480316
200,Czechoslovakia (until 1993),18,9,0,168.1,1890,66.18110236220473
200,Czechoslovakia (until 1993),19,6,0,175.8,1960,69.21259842519686
348,Hungary,18,1,0,164.7,1810,64.84251968503936
348,Hungary,18,2,0,164.3,1820,64.68503937007874
348,Hungary,18,3,0,164.1,1830,64.60629921259843
348,Hungary,18,4,0,164,1840,64.56692913385827
348,Hungary,18,5,0,163.7,1850,64.44881889763779
348,Hungary,18,6,0,165.3,1860,65.07874015748031
348,Hungary,18,7,0,166.388,1870,65.50708661417323
348,Hungary,18,8,0,169.1,1880,66.5748031496063
348,Hungary,19,5,0,175.4,1950,69.05511811023622
348,Hungary,19,6,0,178.2,1960,70.15748031496062
348,Hungary,19,7,0,178.8,1970,70.39370078740158
616,Poland,18,4,0,163.1,1840,64.21259842519686
616,Poland,18,6,0,165.5,1860,65.15748031496064
616,Poland,18,7,0,166.3,1870,65.4724409448819
616,Poland,18,8,0,166.8,1880,65.66929133858268
616,Poland,18,9,0,167.2,1890,65.8267716535433
616,Poland,19,0,0,166.568,1900,65.57795275590551
616,Poland,19,1,0,169,1910,66.53543307086615
616,Poland,19,3,0,173,1930,68.11023622047244
616,Poland,19,4,0,170.5,1940,67.1259842519685
616,Poland,19,5,0,173.2,1950,68.18897637795276
616,Poland,19,6,0,175.3,1960,69.01574803149607
616,Poland,19,8,0,177.4,1980,69.84251968503938
498,Republic of Moldova,18,4,0,165.1,1840,65
498,Republic of Moldova,19,5,0,172.007,1950,67.71929133858268
498,Republic of Moldova,19,6,0,172.813,1960,68.03661417322834
498,Republic of Moldova,19,7,0,173.535,1970,68.32086614173228
498,Republic of Moldova,19,8,0,174.225,1980,68.59251968503936
642,Romania,18,4,0,164,1840,64.56692913385827
642,Romania,18,5,0,163.4,1850,64.33070866141733
642,Romania,18,6,0,164.1,1860,64.60629921259843
642,Romania,18,7,0,165.367,1870,65.10511811023622
642,Romania,18,8,0,164.1,1880,64.60629921259843
